id,member_code,date,trading_type,amount
1,3851,2024-01-05,121,100
2,292,2024-01-11,10,40
3,3851,2024-01-31,111,60
4,164,2024-02-09,10,98
5,47,2024-02-09,12,20
6,3851,2024-02-09,110,2
7,3851,2024-02-09,121,40
8,116,2024-03-04,11,4
9,116,2024-03-04,21,40
10,21,2024-03-04,10,20
11,282,2024-03-06,10,60
12,165,2024-03-06,10,20
13,267,2024-03-15,10,120
14,292,2024-03-27,10,60
15,206,2024-04-01,11,8
16,206,2024-04-01,21,44
17,110,2024-04-08,12,11
18,110,2024-04-08,10,136
19,510,2024-04-08,10,40
20,3851,2024-04-10,10,40
21,116,2024-04-17,10,80
22,164,2024-04-19,10,124
23,134,2024-04-22,10,80
24,292,2024-04-25,10,40
25,116,2024-04-25,11,100
26,385,2024-04-30,10,20
27,576,2024-04-30,11,80
28,292,2024-04-30,11,80
29,576,2024-05-07,21,80
30,165,2024-05-08,10,32
31,3851,2024-05-16,110,40
32,206,2024-05-22,10,40
33,165,2024-06-06,10,20
34,564,2024-06-17,10,40
35,47,2024-06-17,12,40
36,254,2024-06-28,10,20
37,292,2024-07-16,21,80
38,3851,2024-07-17,110,20
39,385,2024-07-19,12,40
40,3851,2024-07-31,110,40
41,610,2024-08-02,10,40
42,577,2024-08-02,10,28
43,3851,2024-08-22,110,160
44,177,2024-08-22,11,40
45,177,2024-08-28,21,40
46,116,2024-09-17,21,60
47,267,2024-09-24,10,108
48,164,2024-09-24,10,100
49,116,2024-09-26,11,80
50,292,2024-09-30,11,20
51,576,2024-09-30,11,40
52,135,2024-10-07,10,21
53,576,2024-10-07,21,40
54,165,2024-10-09,10,24
55,3851,2024-10-15,111,8
56,3851,2024-10-15,121,40
57,3851,2024-10-16,110,12
58,292,2024-10-16,10,24
59,116,2024-10-16,10,24
60,292,2024-10-18,21,20
61,292,2024-10-18,10,40
62,292,2024-10-25,11,96
63,610,2024-10-25,11,80
64,177,2024-10-28,11,40
65,116,2024-10-29,11,196
66,564,2024-11-01,10,40
67,576,2024-11-06,10,40
68,47,2024-11-07,10,46
69,254,2024-11-13,10,40
70,510,2024-11-14,10,40
71,3851,2024-11-28,110,26
72,292,2024-11-28,21,40
